Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
3,3/13/2024,Main Page,bug: Cannot leave Adventure Select screen,"Clicking the back button, home button, or deck builder will take me out of the Adventure Select screen",None of the buttons take me out of the Adventure Select screen,yes,yes,Tum Jomkhanthiphol
1,3/17/2024,Adventure Page,The UI on the Adventure page doesn't work,For at least the home button to return to home page,None of the bottons function except for selecting a game on the map,yes,yes,Christina Mourad
2,3/17/2024,First Tutorial,Card Glitches and doesn't activate,For the card to activate when I click on activate,Card doesn't activate at all but allows for user to place it instead,yes,yes,Christina Mourad
1,3/19/2024,Tutorial,Tutorial Does Not Load,Tutorial to pop up,Went to black screen and froze,Yes,Yes,Anthony Daulo
3,3/18/2024,Game,bug: voice line after match victory gets played three times with overlapping audio,voice line after match win should only play once,voice line after match win played three times with overlapping audio,no,yes,Justin Reyes
4,3/18/2024,Game,bug: game sent me back to log in mid battle,game should not kick me to log in while battling,got kicked to log in while battling,no,yes,Justin Reyes
2,3/19/2024,Arena page,"bug: After clicking arena, I can't go back to main page by clicking the back arrow",I expected to go back the main page,I am stuck on the arena page,yes,yes,Mansoor Amza
3,3/19/2024,Arena page,bug: I can't go to the home page after clicking the home button,I expected to go back to the home page after clicking the home button,I am stuck in the arena page,yes,yes,Mansoor Amza
2,3/18/2024,Game,When attempting to play a match it sometimes freezes as if no oppenent was found,I expect there to be some way to back out of match making or some notice that some match making error has occured,I am just stuck in a dimmed screen with no way out,No,yes,Christopher Poveda
1,3/05/2024,Game,Bug: Game boots me back to main menu during tutorial,Game plays normally,Logged out of game to main menu,No,Yes,Grigor Azakian
2,3/05/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
3,3/05/2024,Login,Bug: Game times out and logs me out within one minute,Logout timer lasts for a longer period of time,Logout timer logs me out very quickly,Yes,Yes,Grigor Azakian
2,3/19/2024,Game,Bug: Frozen turn,Game continues turn cycles normally,Attempting to activate card lead to game being softlocked; timer for opponent was stuck at 72 seconds,no,yes,Paige Watanabe
1,3/17/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
2,3/18/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
3,3/19/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
1,3/19/2024,Landpage,Buttons aren't responsive when exiting friend screen,buttons to respond,buttons don't respond,yes,yes,Jean Hanna
2,3/19/2024,Game audio settings,Master/Music Volume and Sound FX sliders don't change anything,to change volume,doesn't change volume,yes,yes,Jean Hanna
0,2/27/2024,Main Page,"Click add friend icon, then press back icon to return to main page",Be returned to main page once friend added,"Upon pressing the back icon to return to main page, the game would freeze and would have to log in again.",Yes,Yes,Andrew Gabriel
1,2/27/2024,Game,Playing tutorial,Instruct us how to play as a beginner,Got kicked out the game mid tutorial,Yes,Yes,Andrew Gabriel
3,3/05/2024,Game,Playing in arena,Play with other opponent in arena,In the middle of the game was sent back to the login page,Yes,Yes,Andrew Gabriel
4,3/05/2024,Main Page,"Click on either arena, adventure, tutorials, nft shops, settings",register on click,"The game would not register that I'm pressing one of the options. Once it finally registered for arena button would not let me click ""cancel""",Yes,Yes,Andrew Gabriel
9,3/18/2024,Main Page,Click on Adventure and exit out of it,Be able to click on adventure and then exit out by pressing the back button or home button,None of the buttons registered had to refresh the game and sign in again,Yes,Yes,Andrew Gabriel
3,3/14/2024,Deck Builder Tutorial,"When in the deck builder tutorial, when you are asked to have 20 red cards, the game may log you out completely",Finish the deck builder tutorial with no issues,Logged out and sent back to the login screen,yes,yes,Bryan Avila
1,3/19/2024,Game,"Able to exit the deck building tutorial, got softlocked",Cannot exit the tutorial,Exited the tutorial with the prompts active,yes,yes,Dawson Ford
1,3/13/2024,UI,bug: The back arrow on the Adventure tab doesn't do anything trapping you on the Adventure screen.,Clicking the back arrow goes back to the main menu.,Clicking the back arrow does nothing.,yes,yes,Connor Beaudoin
4,3/13/2024,UI,"bug: You can skip the ""Name Your Deck"" step of the deck builder tutorial, but the deck won't save without a name, so the NPC moves onto the next dialogue and you are unable to continue.",The tutorial does not continue until a valid deck name is entered.,The tutorial continues even with an invalid deck name locking the player in.,yes,yes,Connor Beaudoin
1,3/19/2024,Game,Bug: Infinite empty wait loop upon entering arena and connecting to an opponent.,Jump into battle vs. opponent upon clicking “Arena”.,"Unable to get to the actual battle phase, suck in first loading phase without any elements on the screen.",No,Yes,Svarun Soda
0,3/19/2024,5HeadGames/Login/EndersGate/Login,Ex user case: game did not log me in,Game launches properly after logging in from the 5 Head Games Launcher,"Receive the following error in a popup box : “screen.orientation.lock is not a function. (In ‘screen.orientation.lock(type)', 'screen.orientation.lock' is undefined)”",Yes,Yes,Narek Karapetyan
1,3/13/2024,Adventure/Home (house figure),Click to go back to the main page and nothing happen,Go back to the main page,Nothing happen,Yes,Yes,Sayra Reyes
2,3/13/2024,Home Page/Adventure/Deck Builder,Click on deck builder but nothing happen,Go to the Deck Builder,Same nothing happen,Yes,Yes,Sayra Reyes
3,3/14/2024,Home Page/Edit Profile/Player Frame,When I click on player frame nothing happen,To appear a player frame,Nothing happen,Yes,Yes,Sayra Reyes
4,3/14/2024,Home Page/Edit Profile/Player Title,When I click on player title nothing happen,To show the player title,"Same thing, nothing happen",Yes,Yes,Sayra Reyes
5,3/14/2024,Home Page/Edit Profile/Player Banner,Click on player banner and nothing happen,Show player banner (I don’t know what is that),Nothing happen,Yes,Yes,Sayra Reyes
4,3/12/2024,Game,Game,The timer should count down duing the oppenets turn,The timer stuck at 63 during turn 8 main 1,Yes,Yes,Jainivash Korisal
2,3/17/2024,Login,Bug: Gives this error after OAth: TypeError: screen.orientation.lock is not a function,Begin gamplay,Error message,Yes,Yes,Mohammad Asim Sheikh
3,3/17/2024,Game,User case: Reached Max capacity,Begin gameplay,"Users maxed out, tried again 10 minutes later, but same result.",Yes,Yes,Mohammad Asim Sheikh
1,3/17/2024,Main Page,"Game will still
 not let user return
 to home page if
 clicking on adventure
 tab","Game allows
 user to return to
 home page","Game forces
 you to stay on
 adventure page",Yes,Yes,Joey Kaz
3,3/17/2024,Game,"Timer for my player 
 froze and showed to
 be active for enemy AI
 even though it was my
 turn","Game would continue
 as intended","Timer froze, could
 not play game",No,Yes,Joey Kaz
1,3/17/2024,Email Login,user case: log me out after closing the page,Login,Login again back to back,yes,yes,Moises Alvarez
2,3/17/2024,Login Queue,user case: heavy volume of players,Login & play,Max capacity of players,yes,yes,Moises Alvarez
3,3/17/2024,Login Queue,user case: please try again in 10 minutes,Login & play,"again unable to play, max players",yes,yes,Moises Alvarez
4,3/17/2024,Login Authentication,user case: please wait message tool too long,Login,the page froze,yes,yes,Moises Alvarez
2,3/17/2024,Login,When logging back later in the day there was bandwith issues,to login into the game,"a queue of 10 mins but was 
 actually longer",yes,yes,Josue Ambrosio
2,3/16/2024,Starting of Tutorial,Stuck on one of the steps in the deck builder tutorial.,To move on to the next step.,Got stuck in that step.Had to login again.,yes,yes,Shiva Ramezani
3,3/16/2024,Matmaking,Matchmaking process for Arena took too long.,To make a match fast.,It kept loading.,no,yes,Shiva Ramezani
1,3/17/2024,Login,trying to login to email play,let me login,stuck at authenticating… please wait…,yes,Yes,Joshua alvarado
2,3/17/2024,Login,Login queue,login and let me play the game,login queue please try again 10 mintues,Yes,Yes,Joshua alvarado
3,3/17/2024,UI,In the online players. when trying to add a friend. I see a bunch of players to add but they dont have a name or address. It is just in ID format. which makes it hard to tell which player it is.,Expected to see players with names.,Saw a bunch of players with no name or address. Just a random ID,yes,yes,Salman Khan
1,3/17/2024,Game,bug : game froze when other player activated a card on my turn,card activates and I continue my turn,text box pop up saying player activated card so wait till their done but it never finished,yes,Yes,Tommy Tran
2,3/17/2024,Login,user case: having to login everytime the page is closed or refreshed,stay logged in,logs out,yes,yes,Tommy Tran
3,3/17/2024,Main Page,bug: adventure tab cannot return to home screen,back arrow or home button takes you back home,nothing happens when clicking on those buttons,yes,yes,Tommy Tran
2,3/13/2024,Game,Tutorial phase select during first instruction from Luna leads to blocker,The user should be able to hire a guardian or exit the phase select to proceed with the tutorial,Selecting the phase change before Luna's instruction potentially blocks the player from doing anything,yes,yes,Bao Ngo
1,3/17/2024,Game,Bug: Adventure Mode Doesn't work,Able to play 1-1 of adventure mode,"None of the redirection buttons worked, so I could not play 1-1 nor exit the adventure mode screen",yes,yes,Haylee Allen
1,3/08/2024,Login,Can't log in due to full servers,Log in successfully,Not able to log in,yes,yes,Rishabh Chadha
2,3/08/2024,Deck Builder Tutorial,Can't leave the tutorial after starting it,An option to leave tutorial at any time,No option to leave tutorial,yes,yes,Rishabh Chadha
5,3/08/2024,Adventure,Back button to exit Adventure Select doesn’t work,Back button leads to main menu,Back button does nothing,yes,yes,Rishabh Chadha
4,3/12/2024,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
2,3/13/2024,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Omar Monge
3,3/13/2024,login,not connecting to server,connection to server,not connected to server,yes,yes,Omar Monge
2,3/09/2024,adventure select,bug: play buton does not click,click play button start adventure,nothing,yes,yes,Mimi Truong
3,3/09/2024,adventure select,bug: none of the buttons on this page work,click any button and take it to where it Is meant to go,"nothing, I cant even go to the home page.",yes,yes,Mimi Truong
5,3/09/2024,arena battle,bug: was winning and then site just refreshed,I win but apparently this game doesn't want me to,was in the middle of attacking and then the page just refreshed,yes,yes,Mimi Truong
1,3/12/2024,Playing the game,Bug,"I expect that when I click ""Arena"" I am allowed to choose the cards to put down and play against my opponent","When I clicked ""Arena"", nothing happened. It showed me the ""boxes"" where I am supposed to put my cards, but there was no response when I clicked on anything",Yes,Yes,Mirna Farahat
4,3/12/2024,Accessing game,User Case,"I expect that when I try to long in to the game, it takes a few seconds to authenticate","When I tried to authenticate using my email, it displayed ""Authenticating"" for about 4 minutes and still never took me to the game",Yes,Yes,Mirna Farahat
5,3/12/2024,Game stops responding,Bug,"I expect that when I'm in the middle of my game, I can continue playing until someone wins","Game stops responding, countdown stops, I am unable to click on anything.",Yes,Yes,Mirna Farahat
3,3/12/2024,Adventure Select,Clicking PLAY does nothing,To play the level,Nothing happened,Yes,Yes,Artim Trofimenko
4,3/12/2024,Arena,"Bug: The timer stopped counting down and it appeared that the game was frozen, despite everything being clickable",I expected the game to remain playable,The timer stopped counting down and the game appeared to be unplayable,No,Yes,Katrina Ortiz
6,3/12/2024,Arena,"Bug: After surrendering and then quickly going back into the Arena, the game appeared to freeze and was not able to be progressed",I expected to be able to to play another game in the Arena immedietely after surrendering and entering the Arena again,The game froze when I entered into the Arena after just surrendering and immedietely entering into the Arena again,No,Yes,Katrina Ortiz
8,3/12/2024,Main Page,"Bug: I accidentally clicked on ""Adventure"" instead of ""Arena"" and was unable to get out of the Adventure page without a refresh",I expected to be able to back out of the Adventure page,I was only able to get out of the Adventure page with a refresh and was required to sign in again,Yes,Yes,Katrina Ortiz
2,3/12/2024,Main Page,Returning to Main Page,Game menu,JavaScript Error Image 2,No,yes,Jack Konyan
3,3/12/2024,Game,Playing a match,AI player finishs turn,Timer stuck and AI not making moves,No,Yes,Jack Konyan
4,3/12/2024,Login,Logining Via email,Brings up options to log in,Page never resolves,no,Yes,Jack Konyan
0,3/07/2024,Game/Main Page,The return buttons does not respond after adventure select,Clicking the button should navigate the screen to main page.,Clicking on button does not result in any action.,Yes,Yes,Raymond Gharapeti Babayans
1,3/06/2024,Game/Main Page,Game refused to load - required sign in twice,Game should launch and the loading screen should go away.,Game was stuck on loading screen.,No,Yes,Raymond Gharapeti Babayans
2,3/10/2024,Game/Main Page,Adventure select randomly caused the game to freeze,Game should process to adventure select and display the menu.,Game was stuck.,No,Yes,Raymond Gharapeti Babayans
0,3/12/2024,Login,"Login page stuck at ""Login in with email"" when you close the tab that opens up after pressing login with email",Give the user a choice to use Wallet Login or Email Login,"Stuck on login page saying ""Login with email""",yes,yes,Elijah Ko
3,3/12/2024,Login,Logging in after being kicked due to inactivity leads to being stuck in infinite authentication.,Log back in as usual,Stuck in authentication process,yes,yes,Elijah Ko
1,3/12/2024,UI,Bug: Adeventure mode,Play adventure mode,Nothing works/ can't go back to home page,Yes,Yes,Ramon
1,3/12/2024,main page,bug: adventure page still locks and does not allow for return to menu,return to menu,stuck in adventure page,yes,yes,Michael Green
2,3/12/2024,Login,bug: login authentication failure despite previous sucessful login,login,endless loading and eventual crash of browser,no,yes,Michael Green
5,3/12/2024,game,bug: stuck on game screen after lose,defeat screen displayed when at 0 health,stuck in game until force quiet of browser,no,yes,Michael Green
1,2/24/2024,Main Page,ex bug: Clicking on PLAY for the deck tutorial doesn't work.,The Deck Tutorial to Begin,The side bar moves away and nothing else.,yes,yes,Melchor Abalos
1,8/03/2024,Main Page,bug: I just clicked adventure and its not letting me play and do anything,Play adventure,It locked me in the adventure map,yes,Yes,Jorge Torrez
2,8/03/2024,Game,bug: I got disconnected from the servers,Play the game,Got disconected in the middle of the game,yes,yes,Jorge Torrez
1,3/10/2024,Login/UI/Game/Main Page/Adventure,"bug: When heading over to the adventure page and clicking on one of the missions, it should show the objective list but it's just completely empty. User case: Objective list is displayed but empty",The list of objectives should show up,The objective list empty,no,yes,Edward Shatverov
1,3/12/2024,Adventure,"clicking ""adventure""",bring me to a page where i can play an adventure,the scrren is unresponsive to the user.,yes,yes,VictorUm
3,3/12/2024,during game,"Activating the ""Void trap"" card during opponets phase","""Void Trap"" card inflicts 50 damage to an opponets guardian and continues the opponents phase",the opponents phase stops,yes,yes,VictorUm
1,3/10/2024,Create Deck,"After entering an arena and choosing a deck, it doesnt let you exit to choose another card.",Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
2,3/11/2024,Create Deck,"After entering an arena and choosing a deck, it doesnt let you exit to choose another card.",Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
3,3/12/2024,Create Deck,How to obtain button and related cards buttons do not work,Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
4,3/12/2024,Tutorial,It was my turn to play my character and the game froze and went back to the login page.,Gameplay for tutorial,Screen got stuck and looped back to login page,Yes,Yes,Heather Gardner
1,3/12/2024,Game,bug: Every time I activate a trap card game gets stuck and I can no longer do anything,Game should switch to my turn,It is always the bot's turn,yes,yes,Jonathan Alcantar
1,3/12/2024,Adventure Page,bug: After clicking on a mission you wont be able to click on anything else and brick the game.,Expected to go back to menu normally and play a mission,Get stuck in adventure mode and cant go back unless you quit,yes,yes,Jayms Stockdale
1,3/12/2024,Game,"After staying in the deck builder page for over a minute, it will log you out and you will be unable to log back in until you close the page",Not to log me out,Logs me out,Yes,Yes,Jae Molina
6,2/27/2024,game,"Bug: force quite game, back to relogin page",play a game against an opponent,"game froze, then sent me back to my log 
 in page",yes,yes,Jared Immerman
7,2/27/2024,login,Bug: log in after previous force quite,"stuck on ""Login with email…""",log in,no,yes,Jared Immerman
8,2/27/2024,game,"Bug: in game, AI Player 1 timer stopped",timer would continue to count down,"timer stopped at 72 seconds, I was
 clicking on my cards to place, not during
 my turn",no,yes,Jared Immerman
9,2/27/2024,main page/game,bug: searching for game,"find a game, or notify that game could not be
 found","game froze, then sent me back to my log 
 in page",no,yes,Jared Immerman
11,3/12/2024,game,Tried to leave adventure screen to go back to menu,Go back to main menu,"Stuck in adventure screen, cant leave",yes,yes,Jared Immerman
13,3/12/2024,game,"Game crashed and sent me back to PLAY GAME 
 screen",Playing the game,Game crashed,no,yes,Jared Immerman
3,3/11/2024,Game: Card Usage,I was in an arena against a bot when I used a void trap I had previously set down before to one shot an enemy guardian that was placed during their main phase.,Use the trap card I had set down to one shot an enemy's guardian during their main phase.,"A 10 second timer popped up and I used the card before the timer expired. However, I waited a few more seconds knowing that it would be past the 10 second timer I was originally given(At this point though the timer disappers and I am given a menu to select which guardian I want to attack). At this point I selected which guardian I wanted to attack and nothing happen which lead me to a blocker state.",yes,yes,Herbert Alvarenga
1,3/10/2024,Game,Started Arena game,Game to start,"Game did not start, had to refresh and log back in",no,yes,Eduard Hovhannisyan
2,3/10/2024,Login,Upon game failure had to log back in,"A lot of steps to login, and the browser does not enter the game,,, upon every refres, I had to go through same login process","Upon page refres, the game did not load automatically",yes,yes,Eduard Hovhannisyan
2,3/11/2024,Main Page,bug: settings -> exit button does not work,close the pop-up,it doesn’t do anything,yes,yes,Yashira Almanza
4,3/11/2024,UI,bug: adventure -> back up button doesn’t work,backup button would take me back to main page,It doesn’t take me back,yes,yes,Yashira Almanza
5,3/11/2014,UI,bug: adventure -> 'deck builder' button doesn’t work,to take me to build the deck,it doesn’t work,yes,yes,Yashira Almanza
6,3/11/2024,UI,bug: adventure -> 'house' button doesn’t work,to take to the main page,it didn't take anymore,yes,yes,Yashira Almanza
2,3/12/2024,Login/Adventure,Home button does not work,Return to the main menu,Nothing happens,yes,Yes,Jorge Enriquez
3,3/12/2024,Login/Adventure,User Case: No way of going to main menu,Either back button or home button returns to main menu,User is soft locked in Adventure select,Yes,Yes,Jorge Enriquez
2,3/11/2024,Game,Bug: Sometimes it does not let me attack.,I expected to attack.,Could not attack.,Yes,Yes,Angel Venegas
2,3/06/2024,Game,Bug: Adventure levels don't work (can't play levels even after clicking play),It lets me play any levels,It doesn't let me play any levels,yes,yes,Tum Jomkhanthiphol
3,3/06/2024,Main Page,Bug: Can't exit out of Adventure tab (back button doesn't work on this tab),Clicking back on this tab will navigate me back to the previous menu,Clicking back does nothing,yes,yes,Tum Jomkhanthiphol
1,3/10/2024,Adventure Page,Accessing any of the UI in adventure doesn't work,To be able to access at least the exit button,User is stuck at the Adventure page,yes,yes,Christina Mourad
